"","price","volume","date","ticker"
"699",10015,0,2002-10-25,"^BVSP"
"700",9574,0,2002-10-28,"^BVSP"
"701",9601,0,2002-10-29,"^BVSP"
"702",10069,0,2002-10-30,"^BVSP"
"703",10168,0,2002-10-31,"^BVSP"
"704",10140,0,2002-11-01,"^BVSP"
"705",9913,0,2002-11-04,"^BVSP"
"706",9861,0,2002-11-05,"^BVSP"
"707",9703,0,2002-11-06,"^BVSP"
"708",9799,0,2002-11-07,"^BVSP"
"709",9860,0,2002-11-08,"^BVSP"
"710",9886,0,2002-11-11,"^BVSP"
"711",9721,0,2002-11-12,"^BVSP"
"712",9764,0,2002-11-13,"^BVSP"
"713",9884,0,2002-11-14,"^BVSP"
"714",9971,0,2002-11-18,"^BVSP"
"715",9971,0,2002-11-19,"^BVSP"
"716",10088,0,2002-11-20,"^BVSP"
"717",10289,0,2002-11-21,"^BVSP"
"718",10404,0,2002-11-22,"^BVSP"
"719",10246,0,2002-11-25,"^BVSP"
"720",10132,0,2002-11-26,"^BVSP"
"721",10226,0,2002-11-27,"^BVSP"
"722",10239,0,2002-11-28,"^BVSP"
"723",10509,0,2002-11-29,"^BVSP"
"724",10674,0,2002-12-02,"^BVSP"
"725",10663,0,2002-12-03,"^BVSP"
"726",10640,0,2002-12-04,"^BVSP"
"727",10413,0,2002-12-05,"^BVSP"
"728",10569,0,2002-12-06,"^BVSP"
"729",10339,0,2002-12-09,"^BVSP"
"730",10331,0,2002-12-10,"^BVSP"
"731",10614,0,2002-12-11,"^BVSP"
"732",10587,0,2002-12-12,"^BVSP"
"733",10564,0,2002-12-13,"^BVSP"
"734",10771,0,2002-12-16,"^BVSP"
"735",10833,0,2002-12-17,"^BVSP"
"736",10985,0,2002-12-18,"^BVSP"
"737",11208,0,2002-12-19,"^BVSP"
"738",11490,0,2002-12-20,"^BVSP"
"739",11470,0,2002-12-23,"^BVSP"
"740",11318,0,2002-12-26,"^BVSP"
"741",11234,0,2002-12-27,"^BVSP"
"742",11268,0,2002-12-30,"^BVSP"
"743",11603,0,2003-01-02,"^BVSP"
"744",11600,0,2003-01-03,"^BVSP"
