ticker,ref_date,volume,price_open,price_high,price_low,price_close,price_adjusted,ret_adjusted_prices,ret_closing_prices,cumret_adjusted_prices
EIX,2015-01-02,572993000,60.080002,69.589996,55.18,59.209999,45.358047,-0.06922236459464925,-0.09575448553354515,1.7753150135845233
EIX,2016-01-04,467642800,72.349998,78.720001,57.970001,71.989998,56.663998,0.24926009270196303,0.21584190535115533,2.217830198445788
EIX,2017-01-03,496013500,64.099998,83.379997,62.669998,63.240002,51.294987,-0.0947517151895989,-0.12154460679384937,2.007686983143761
EIX,2018-01-02,655865100,57.189999,71,45.5,56.77,47.883755,-0.06650224904043733,-0.10230869379162877,1.8741712833954904
EIX,2019-01-02,644658900,74.690002,76.449997,53.400002,75.410004,65.893295,0.37610960126247406,0.32834250484410776,2.5790650974909477
EIX,2020-01-02,606413200,61.799999,78.93,43.630001,62.82,57.492275,-0.12749430727360034,-0.1669540290702014,2.250248979472819
EIX,2021-01-04,496552300,67.760002,68.620003,53.919998,68.25,65.304375,0.13588086399433652,0.08643744030563516,2.5560147550059593
EIX,2022-01-03,479454000,64.449997,73.32,54.450001,63.619999,63.619999,-0.02579269765616765,-0.06783884249084249,2.490088239225387
EL,2010-01-04,904485200,39.805,40.720001,23.825001,40.349998,35.458084,NA,NA,1
EL,2011-01-03,661365400,57.110001,60.365002,39.834999,56.16,49.822704,0.4051155161119253,0.39182163032573136,1.4051155161119253
EL,2012-01-03,519012000,57.669998,65.599998,49.810001,59.860001,53.764751,0.07912149850397521,0.06588320868945874,1.5162903613178873
EL,2013-01-02,424936800,75.389999,75.769997,59.900002,75.32,68.39164,0.27205350583693755,0.25826927400151556,1.9288024699811754
EL,2014-01-02,483482100,77.339996,77.980003,63.630001,76.199997,69.992004,0.023399994502252053,0.011683443972384522,1.973936437174665
EL,2015-01-02,469263900,88.620003,91.68,70.379997,88.059998,81.881355,0.16986727512474142,0.15564306387046178,2.3092436410269657
EL,2016-01-04,425448900,77.309998,97.480003,75.300003,76.489998,72.138016,-0.11899337767431917,-0.13138769319526888,2.034458940308224
EL,2017-01-03,475066600,127.800003,130.360001,76.339996,127.239998,121.685707,0.6868457679789808,0.6634854402793944,3.4318184535859295
EL,2018-01-02,508823200,129.729996,158.800003,121.639999,130.100006,125.793564,0.03375792524260879,0.02247727165163904,3.5476695243882888
EL,2019-01-02,413635500,205.699997,208.330002,121.470001,206.539993,201.702637,0.6034416275859709,0.5875479129493659,5.688480996322305
EL,2020-01-02,413618100,262.920013,267.200012,137.009995,266.190002,261.757782,0.29774100077828924,0.28880609577632743,7.382175021075588
EL,2021-01-04,305618500,367.660004,372.359985,231.970001,370.200012,366.552551,0.4003501565428147,0.39073597512501634,10.337629946389656
