ref_date,BA,NOC,SO,WY
2018-08-28,339.700958,280.292328,37.030724,29.461945
2018-08-29,338.714417,277.213318,37.206142,29.345131
2018-08-30,335.532227,278.687561,36.913769,28.852846
2018-08-31,331.556915,278.500916,36.571281,28.961311
2018-09-04,334.903534,277.717255,36.663166,28.502407
2018-09-05,335.319427,276.877441,37.306381,28.685972
2018-09-06,339.759033,281.486603,38.225254,28.819479
2018-09-07,337.834198,280.394958,37.030724,28.41897
2018-09-10,330.657349,283.585938,37.055775,28.460695
2018-09-11,333.93631,282.680939,36.897053,28.452347
2018-09-12,341.828918,283.20343,36.855293,28.777754
2018-09-13,343.811707,283.091461,36.997299,28.971573
2018-09-14,348.00946,286.75827,36.671513,28.701916
2018-09-17,344.295319,290.191833,37.080833,28.62607
2018-09-18,351.665588,296.359253,37.414967,28.617647
2018-09-19,353.251862,291.348846,36.504456,28.347982
2018-09-20,355.418427,281.22540299999997,36.161964,28.390121
2018-09-21,360.032166,286.151825,36.763412,27.817091
2018-09-24,355.931091,285.610626,36.613049,27.724394
2018-09-25,355.195984,293.354828,35.694164,27.555862
2018-09-26,353.068115,293.513428,35.635689,27.572708
2018-09-27,355.350739,295.556763,36.120201,27.656984
2018-09-28,359.712952,296.116547,36.420914,27.193501
2018-10-01,369.762512,297.170929,36.070065,26.856422
2018-10-02,373.708801,297.422791,36.278915,26.94912
2018-10-03,379.444489,296.359253,35.744289,26.039022
2018-10-04,377.210144,296.788361,35.902996,25.895765
2018-10-05,373.805481,298.887695,36.512806,25.508129
2018-10-08,373.128479,297.63736,36.688225,25.996891
2018-10-09,372.809235,293.158844,36.855293,25.727226
2018-10-10,355.428131,288.35376,36.704937,24.522186
2018-10-11,346.374878,277.689178,36.370804,24.016571
2018-10-12,348.309357,282.121094,36.404217,23.662647
2018-10-15,347.119659,285.134796,36.938831,23.612085
2018-10-16,356.182587,291.190186,37.181072,24.201965
2018-10-17,353.522705,288.773621,37.014008,23.856461
2018-10-18,347.574219,287.560699,37.005657,23.477251
2018-10-19,344.58551,287.066193,37.648861,24.050278
2018-10-22,344.314697,286.207794,37.565334,23.266584
2018-10-23,338.578979,283.753845,37.364849,23.890169
2018-10-24,343.028259,266.716736,38.442432,23.999716
2018-10-25,351.849396,251.900131,37.815933,24.395786
2018-10-26,347.496826,251.769547,37.473454,22.322773
2018-10-29,324.592834,239.136322,38.333855,22.272213
2018-10-30,338.443573,243.614853,38.275375,22.103674
2018-10-31,343.231384,244.407944,37.615448,22.440748
2018-11-01,351.172363,254.857956,37.506863,22.937931
2018-11-02,346.026672,255.464371,37.373203,23.199171
2018-11-05,350.118042,260.726685,37.799229,23.275009
2018-11-06,354.460968,263.805664,38.150078,22.912653
2018-11-07,359.829041,266.763367,39.269432,23.182314
2018-11-08,360.276001,265.009338,38.910233,22.963217
2018-11-09,358.886505,266.595428,39.10236,22.609287
2018-11-12,346.924927,258.963257,39.169193,22.752539
2018-11-13,339.617737,255.315109,39.486622,22.457602
2018-11-14,334.963287,252.590607,39.595219,22.516592
2018-11-15,331.902466,254.11145,39.411442,22.423899
2018-11-16,326.441589,254.382034,39.673737,22.803104
2018-11-19,311.856384,251.228409,39.800655,22.828382
2018-11-20,308.708069,248.942444,39.479126,22.373333
2018-11-21,308.338837,249.782135,38.607647,22.474455
2018-11-23,303.480377,248.737228,38.6838,22.187943
2018-11-26,307.405975,248.093445,38.624565,22.449177
2018-11-27,309.028717,242.905792,38.996849,22.491308
2018-11-28,324.060913,245.51828,39.022232,22.710407
2018-11-29,332.864471,243.213654,39.377594,22.82136
2018-11-30,336.945587,243.597977,40.046024,22.539719
2018-12-03,349.772003,245.088348,40.181396,22.616528
2018-12-04,332.806152,234.186981,39.969872,21.438766
2018-12-06,322.506165,240.90773,39.36068,22.82136
2018-12-07,314.071869,241.404572,39.749878,21.566782
2018-12-10,317.113251,253.299515,39.952946,21.925234
2018-12-11,312.915558,251.209229,40.24062,21.413158
2018-12-12,317.443634,253.186996,39.775261,21.097378
2018-12-13,316.258179,251.068619,40.232162,20.90962
2018-12-14,309.728333,246.250656,40.046024,20.508499
2018-12-17,307.182526,241.123352,38.920708,20.141514
2018-12-18,318.774872,240.842178,38.523022,20.175652
2018-12-19,310.505707,237.477097,38.311504,19.800131
2018-12-20,304.189636,228.356689,38.150749,18.963741
2018-12-21,295.930267,220.501694,38.150749,18.161501
2018-12-24,285.834351,212.056198,36.399315,18.007877
2018-12-26,305.0448,218.064606,36.923904,18.221239
2018-12-27,308.16394,224.560425,37.186188,18.374865
2018-12-28,307.425446,227.07251,37.186188,18.630898
2018-12-31,313.372223,229.556473,37.160797,18.656506
2019-01-02,314.645142,230.934372,36.991592,18.374865
2019-01-03,302.100525,224.888474,37.516174,18.997885
2019-01-04,317.822571,232.368515,37.829235,19.646507
2019-01-07,318.823425,234.177628,37.744617,20.039093
2019-01-08,330.891937,235.236832,38.819172,20.158581
2019-01-09,334.09848,236.352249,38.489189,20.22686
2019-01-10,342.630005,241.517075,39.208382,20.73893
2019-01-11,342.911774,240.007874,39.436821,20.662117
2019-01-14,340.443695,243.672943,39.056087,20.551172
2019-01-15,342.270508,242.716858,39.589119,20.576775
2019-01-16,342.095581,239.717346,39.656811,20.807203
2019-01-17,348.926605,247.534821,39.826031,21.029102
2019-01-18,354.407013,250.97493,39.952946,21.404627
2019-01-22,347.770294,248.144119,39.826031,20.95229
2019-01-23,348.460144,253.299515,40.257542,20.730398
2019-01-24,348.129822,252.915192,40.57906,21.481434
2019-01-25,353.891968,255.746002,40.189857,21.933764
2019-01-28,352.696777,257.114563,40.130627,22.019112
2019-01-29,354.581879,262.579254,40.257542,22.061781
2019-01-30,376.746307,263.226044,40.502907,22.369026
2019-01-31,374.705688,258.286255,41.120564,22.394629
2019-02-01,376.464508,255.858459,41.027504,22.829889
2019-02-04,385.763641,261.266998,41.129025,22.317818
2019-02-05,398.570618,261.013885,41.23056,22.599464
2019-02-06,399.474304,262.841675,41.069798,22.420238
2019-02-07,395.680267,261.079498,41.594383,22.112995
2019-02-08,395.426361,263.038513,41.560539,21.891092
2019-02-11,394.488892,263.835327,41.662075,21.677731
2019-02-12,401.100311,266.281799,41.772068,21.617992
2019-02-13,400.963562,265.550598,41.645149,21.669195
2019-02-14,400.221375,263.019775,41.628231,21.694799
2019-02-15,408.180511,269.000031,41.593964,21.797216
2019-02-19,406.510559,269.346893,41.902325,21.839886
2019-02-20,411.676605,270.162384,42.604691,22.078859
2019-02-21,407.799591,269.487457,43.015831,21.967905
2019-02-22,414.118073,271.755981,43.144321,22.266617
